root_role,root_cause,missing_rate,false_alarm_count,trial,observed_alarm_count,topology_rank,temporal_rank
core,core-03,0.2,2,18,11,1,1
core,core-03,0.2,2,19,11,1,1
core,core-03,0.2,4,0,11,1,1
core,core-03,0.2,4,1,13,1,1
core,core-03,0.2,4,2,10,1,1
core,core-03,0.2,4,3,11,1,1
core,core-03,0.2,4,4,13,1,1
core,core-03,0.2,4,5,11,1,1
core,core-03,0.2,4,6,11,1,1
core,core-03,0.2,4,7,13,1,1
core,core-03,0.2,4,8,11,1,1
core,core-03,0.2,4,9,11,1,1
core,core-03,0.2,4,10,10,1,1
core,core-03,0.2,4,11,12,1,1
core,core-03,0.2,4,12,12,1,1
core,core-03,0.2,4,13,12,1,1
core,core-03,0.2,4,14,12,1,1
core,core-03,0.2,4,15,12,1,1
core,core-03,0.2,4,16,10,2,2
core,core-03,0.2,4,17,13,1,1
core,core-03,0.2,4,18,9,1,1
core,core-03,0.2,4,19,12,1,1
core,core-03,0.4,0,0,3,1,1
core,core-03,0.4,0,1,3,1,1
core,core-03,0.4,0,2,3,1,1
core,core-03,0.4,0,3,5,1,1
core,core-03,0.4,0,4,6,1,1
core,core-03,0.4,0,5,8,1,1
core,core-03,0.4,0,6,8,1,1
core,core-03,0.4,0,7,5,1,1
core,core-03,0.4,0,8,5,1,1
core,core-03,0.4,0,9,4,1,1
core,core-03,0.4,0,10,5,1,1
core,core-03,0.4,0,11,6,1,1
core,core-03,0.4,0,12,5,1,1
core,core-03,0.4,0,13,6,1,1
core,core-03,0.4,0,14,2,1,1
core,core-03,0.4,0,15,6,1,1
core,core-03,0.4,0,16,5,1,1
core,core-03,0.4,0,17,5,1,1
core,core-03,0.4,0,18,7,1,1
core,core-03,0.4,0,19,5,1,1
core,core-03,0.4,2,0,8,1,1
core,core-03,0.4,2,1,7,1,1
core,core-03,0.4,2,2,6,2,2
core,core-03,0.4,2,3,9,1,1
core,core-03,0.4,2,4,6,1,1
core,core-03,0.4,2,5,9,1,1
core,core-03,0.4,2,6,9,1,1
core,core-03,0.4,2,7,8,1,1
core,core-03,0.4,2,8,10,1,1
core,core-03,0.4,2,9,9,1,1
core,core-03,0.4,2,10,7,1,1
core,core-03,0.4,2,11,7,1,1
core,core-03,0.4,2,12,8,1,1
core,core-03,0.4,2,13,9,1,1
core,core-03,0.4,2,14,10,1,1
core,core-03,0.4,2,15,8,1,1
core,core-03,0.4,2,16,9,1,1
core,core-03,0.4,2,17,7,1,1
core,core-03,0.4,2,18,8,1,1
core,core-03,0.4,2,19,10,1,1
core,core-03,0.4,4,0,9,1,1
core,core-03,0.4,4,1,11,1,1
core,core-03,0.4,4,2,9,1,1
core,core-03,0.4,4,3,11,1,1
core,core-03,0.4,4,4,9,1,1
core,core-03,0.4,4,5,11,1,1
core,core-03,0.4,4,6,12,1,1
core,core-03,0.4,4,7,10,1,1
core,core-03,0.4,4,8,10,1,1
core,core-03,0.4,4,9,9,1,1
core,core-03,0.4,4,10,11,1,1
core,core-03,0.4,4,11,10,1,1
core,core-03,0.4,4,12,7,8,1
core,core-03,0.4,4,13,11,1,1
core,core-03,0.4,4,14,10,1,1
core,core-03,0.4,4,15,9,1,1
core,core-03,0.4,4,16,10,1,1
core,core-03,0.4,4,17,10,1,1
core,core-03,0.4,4,18,9,1,1
core,core-03,0.4,4,19,9,1,1
aggregation,aggregation-01,0.0,0,0,4,1,1
aggregation,aggregation-01,0.0,0,1,4,1,1
aggregation,aggregation-01,0.0,0,2,4,1,1
aggregation,aggregation-01,0.0,0,3,4,1,1
aggregation,aggregation-01,0.0,0,4,4,1,1
aggregation,aggregation-01,0.0,0,5,4,1,1
aggregation,aggregation-01,0.0,0,6,4,1,1
aggregation,aggregation-01,0.0,0,7,4,1,1
aggregation,aggregation-01,0.0,0,8,4,1,1
aggregation,aggregation-01,0.0,0,9,4,1,1
aggregation,aggregation-01,0.0,0,10,4,1,1
aggregation,aggregation-01,0.0,0,11,4,1,1
aggregation,aggregation-01,0.0,0,12,4,1,1
aggregation,aggregation-01,0.0,0,13,4,1,1
aggregation,aggregation-01,0.0,0,14,4,1,1
aggregation,aggregation-01,0.0,0,15,4,1,1
aggregation,aggregation-01,0.0,0,16,4,1,1
aggregation,aggregation-01,0.0,0,17,4,1,1
aggregation,aggregation-01,0.0,0,18,4,1,1
aggregation,aggregation-01,0.0,0,19,4,1,1
aggregation,aggregation-01,0.0,2,0,6,1,1
aggregation,aggregation-01,0.0,2,1,6,1,1
aggregation,aggregation-01,0.0,2,2,6,1,1
aggregation,aggregation-01,0.0,2,3,6,1,1
aggregation,aggregation-01,0.0,2,4,6,1,1
aggregation,aggregation-01,0.0,2,5,6,1,1
aggregation,aggregation-01,0.0,2,6,6,2,1
aggregation,aggregation-01,0.0,2,7,6,1,1
aggregation,aggregation-01,0.0,2,8,6,1,1
aggregation,aggregation-01,0.0,2,9,6,1,1
aggregation,aggregation-01,0.0,2,10,6,1,1
aggregation,aggregation-01,0.0,2,11,6,1,1
aggregation,aggregation-01,0.0,2,12,6,1,1
aggregation,aggregation-01,0.0,2,13,6,1,1
aggregation,aggregation-01,0.0,2,14,6,1,1
aggregation,aggregation-01,0.0,2,15,6,1,1
aggregation,aggregation-01,0.0,2,16,6,1,1
aggregation,aggregation-01,0.0,2,17,6,1,1
aggregation,aggregation-01,0.0,2,18,6,1,1
aggregation,aggregation-01,0.0,2,19,6,1,1
aggregation,aggregation-01,0.0,4,0,8,2,1
aggregation,aggregation-01,0.0,4,1,8,2,1
aggregation,aggregation-01,0.0,4,2,8,1,1
aggregation,aggregation-01,0.0,4,3,8,1,1
aggregation,aggregation-01,0.0,4,4,8,1,1
aggregation,aggregation-01,0.0,4,5,8,1,1
aggregation,aggregation-01,0.0,4,6,8,1,1
aggregation,aggregation-01,0.0,4,7,8,1,1
aggregation,aggregation-01,0.0,4,8,8,1,1
aggregation,aggregation-01,0.0,4,9,8,1,1
aggregation,aggregation-01,0.0,4,10,8,1,1
aggregation,aggregation-01,0.0,4,11,8,2,1
aggregation,aggregation-01,0.0,4,12,8,1,1
aggregation,aggregation-01,0.0,4,13,8,1,1
aggregation,aggregation-01,0.0,4,14,8,2,1
aggregation,aggregation-01,0.0,4,15,8,1,1
aggregation,aggregation-01,0.0,4,16,8,2,1
aggregation,aggregation-01,0.0,4,17,8,1,1
aggregation,aggregation-01,0.0,4,18,8,1,1
aggregation,aggregation-01,0.0,4,19,8,2,2
aggregation,aggregation-01,0.2,0,0,3,1,1
aggregation,aggregation-01,0.2,0,1,4,1,1
aggregation,aggregation-01,0.2,0,2,4,1,1
aggregation,aggregation-01,0.2,0,3,3,1,1
aggregation,aggregation-01,0.2,0,4,4,1,1
aggregation,aggregation-01,0.2,0,5,2,1,1
aggregation,aggregation-01,0.2,0,6,3,1,1
aggregation,aggregation-01,0.2,0,7,4,1,1
aggregation,aggregation-01,0.2,0,8,4,1,1
aggregation,aggregation-01,0.2,0,9,3,1,1
aggregation,aggregation-01,0.2,0,10,3,1,1
aggregation,aggregation-01,0.2,0,11,3,1,1
aggregation,aggregation-01,0.2,0,12,4,1,1
aggregation,aggregation-01,0.2,0,13,4,1,1
aggregation,aggregation-01,0.2,0,14,4,1,1
aggregation,aggregation-01,0.2,0,15,3,1,1
aggregation,aggregation-01,0.2,0,16,4,1,1
aggregation,aggregation-01,0.2,0,17,2,1,1
aggregation,aggregation-01,0.2,0,18,3,1,1
aggregation,aggregation-01,0.2,0,19,3,1,1
aggregation,aggregation-01,0.2,2,0,4,3,1
aggregation,aggregation-01,0.2,2,1,5,1,1
aggregation,aggregation-01,0.2,2,2,6,1,1
aggregation,aggregation-01,0.2,2,3,5,1,1
aggregation,aggregation-01,0.2,2,4,3,4,4
aggregation,aggregation-01,0.2,2,5,4,1,1
aggregation,aggregation-01,0.2,2,6,4,2,1
aggregation,aggregation-01,0.2,2,7,5,1,1
aggregation,aggregation-01,0.2,2,8,5,2,1
aggregation,aggregation-01,0.2,2,9,5,1,1
aggregation,aggregation-01,0.2,2,10,5,1,1
aggregation,aggregation-01,0.2,2,11,6,1,1
aggregation,aggregation-01,0.2,2,12,6,1,1
aggregation,aggregation-01,0.2,2,13,6,1,1
aggregation,aggregation-01,0.2,2,14,6,1,1
aggregation,aggregation-01,0.2,2,15,6,1,1
aggregation,aggregation-01,0.2,2,16,6,1,1
aggregation,aggregation-01,0.2,2,17,6,1,1
aggregation,aggregation-01,0.2,2,18,5,1,1
aggregation,aggregation-01,0.2,2,19,5,1,1
aggregation,aggregation-01,0.2,4,0,7,1,1
aggregation,aggregation-01,0.2,4,1,7,2,2
aggregation,aggregation-01,0.2,4,2,8,2,1
aggregation,aggregation-01,0.2,4,3,8,1,1
aggregation,aggregation-01,0.2,4,4,7,2,1
aggregation,aggregation-01,0.2,4,5,6,8,7
aggregation,aggregation-01,0.2,4,6,6,8,6
aggregation,aggregation-01,0.2,4,7,7,1,1
aggregation,aggregation-01,0.2,4,8,7,2,2
aggregation,aggregation-01,0.2,4,9,8,1,1
aggregation,aggregation-01,0.2,4,10,7,2,1
aggregation,aggregation-01,0.2,4,11,7,2,1
